"Polynomial Degree","a","b"
3,"{-1.893289}", "{}"
4,"{-2., 2.}", "{0. - 1.*I, 0. + 1.*I}"
5,"{-2.05257}","{}"
6,"{-2.088137, 2.088137}","{}"
7,"{-2.111554}","{}"
8,"{-2.12872, 2.12872}","{0. - 1.*I, 0. + 1.*I}"
9,"{-2.141594}","{}"
10,"{-2.151695, 2.151695}","{}"
11,"{-2.159807}","{}"
12,"{-2.166482, 2.166482}","{0. - 1.*I, 0. + 1.*I}"
13,"{-2.17207}","{}"
14,"{-2.17682, 2.17682}","{}"
15,"{-2.180909}","{}"
16,"{-2.184466, 2.184466}","{0. - 1.*I, 0. + 1.*I}"
17,"{-2.18759}","{}"
18,"{-2.190355, 2.190355}","{}"
19,"{-2.192821}","{}"
20,"{-2.195034, 2.195034}","{0. - 1.*I, 0. + 1.*I}"
21,"{-2.19703}","{}"
22,"{-2.198841, 2.198841}","{}"
23,"{-2.20049}","{}"
24,"{-2.202, 2.202}","{0. - 1.*I, 0. + 1.*I}"
25,"{-2.203386}","{}"
26,"{-2.204664, 2.204664}","{}"
27,"{-2.205845}","{}"
28,"{-2.206941, 2.206941}","{0. - 1.*I, 0. + 1.*I}"
29,"{-2.207959}","{}"
30,"{-2.208909, 2.208909}","{}"
31,"{-2.209797}","{}"
32,"{-2.210628, 2.210628}","{0. - 1.*I, 0. + 1.*I}"
33,"{-2.211409}","{}"
34,"{-2.212143, 2.212143}","{}"
35,"{-2.212834}","{}"
36,"{-2.213487, 2.213487}","{0. - 1.*I, 0. + 1.*I}"
37,"{-2.214103}","{}"
38,"{-2.214687, 2.214687}","{}"
39,"{-2.215241}","{}"
40,"{-2.215767, 2.215767}","{0. - 1.*I, 0. + 1.*I}"
41,"{-2.216267}","{}"
42,"{-2.216743, 2.216743}","{}"
43,"{-2.217196}","{}"
44,"{-2.217629, 2.217629}","{0. - 1.*I, 0. + 1.*I}"
45,"{-2.218042}","{}"
46,"{-2.218437, 2.218437}","{}"
47,"{-2.218815}","{}"
48,"{-2.219178, 2.219178}","{0. - 1.*I, 0. + 1.*I}"
49,"{-2.219525}","{}"
50,"{-2.219858, 2.219858}","{}"
51,"{-2.220179}","{}"
52,"{-2.220486, 2.220486}","{0. - 1.*I, 0. + 1.*I}"
53,"{-2.220782}","{}"
54,"{-2.221067, 2.221067}","{}"
55,"{-2.221342}","{}"
56,"{-2.221607, 2.221607}","{0. - 1.*I, 0. + 1.*I}"
57,"{-2.221862}","{}"
58,"{-2.222109, 2.222109}","{}"
59,"{-2.222347}","{}"
60,"{-2.222577, 2.222577}","{0. - 1.*I, 0. + 1.*I}"
61,"{-2.222799}","{}"
62,"{-2.223015, 2.223015}","{}"
63,"{-2.223223}","{}"
64,"{-2.223425, 2.223425}","{0. - 1.*I, 0. + 1.*I}"
65,"{-2.22362}","{}"
66,"{-2.22381, 2.22381}","{}"
67,"{-2.223994}","{}"
68,"{-2.224173, 2.224173}","{0. - 1.*I, 0. + 1.*I}"
69,"{-2.224346}","{}"
70,"{-2.224514, 2.224514}","{}"
71,"{-2.224678}","{}"
72,"{-2.224837, 2.224837}","{0. - 1.*I, 0. + 1.*I}"
73,"{-2.224991}","{}"
74,"{-2.225142, 2.225142}","{}"
75,"{-2.225288}","{}"
76,"{-2.225431, 2.225431}","{0. - 1.*I, 0. + 1.*I}"
77,"{-2.22557}","{}"
78,"{-2.225705, 2.225705}","{}"
79,"{-2.225837}","{}"
80,"{-2.225965, 2.225965}","{0. - 1.*I, 0. + 1.*I}"
81,"{-2.22609}","{}"
